customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00014,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.86,51.37,No
CUST00015,Female,0,No,Yes,4,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),41.7,148.84,No
CUST00016,Male,1,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,53.21,359.57,No
CUST00017,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.26,1176.01,Yes
CUST00018,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),50.64,44.66,Yes
CUST00019,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),52.93,1452.14,No
CUST00020,Male,0,No,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),45.96,0.0,No
CUST00021,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.69,470.57,Yes
CUST00022,Female,1,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.29,248.06,No
CUST00023,Male,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25.72,521.31,Yes
CUST00024,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.99,148.04,Yes
CUST00025,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,35.91,146.08,Yes
CUST00026,Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),50.3,49.26,Yes
CUST00027,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.73,1468.01,No
CUST00028,Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,56.31,183.97,Yes
CUST00029,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,58.03,318.0,No
CUST00030,Female,0,Yes,No,21,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),34.25,707.92,Yes
CUST00031,Female,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),52.65,677.14,No
CUST00032,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.8,122.6,No
CUST00033,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.22,257.22,No
CUST00034,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.76,217.53,Yes
CUST00035,Female,1,No,No,27,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),33.2,920.21,Yes
CUST00036,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,56.65,1536.48,No
CUST00037,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.53,120.01,Yes
CUST00038,Female,0,Yes,No,13,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,46.93,619.57,No
CUST00039,Female,0,No,Yes,14,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),39.04,523.95,No
CUST00040,Female,0,No,No,22,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),43.51,995.16,Yes
CUST00041,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),54.99,160.18,No
CUST00042,Female,0,No,Yes,8,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),35.28,336.64,No
CUST00043,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.81,104.68,Yes
CUST00044,Male,1,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.08,2033.16,Yes
CUST00045,Female,1,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,48.94,309.18,Yes
CUST00046,Female,1,No,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,36.87,122.57,No
CUST00047,Male,0,Yes,No,10,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,38.15,365.32,No
CUST00048,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.39,278.34,No
CUST00049,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.53,165.57,No
CUST00050,Male,1,No,No,29,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),43.38,1335.07,No
CUST00051,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),53.96,758.96,No
CUST00052,Male,0,Yes,No,1,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),37.77,39.41,No
CUST00053,Male,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,38.73,156.52,Yes
CUST00054,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,51.32,235.05,No
CUST00055,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),44.15,522.52,No
CUST00056,Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),48.67,2145.21,No
CUST00057,Female,0,No,No,6,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,32.34,227.27,No
CUST00058,Female,0,No,Yes,3,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,34.43,111.39,No
CUST00059,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.29,2226.76,No
CUST00060,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,56.93,156.64,Yes
CUST00061,Female,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,48.81,37.44,Yes
CUST00062,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.14,186.02,No
CUST00063,Female,0,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.76,251.81,No
CUST00064,Female,0,No,No,23,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,39.69,922.11,Yes
CUST00065,Female,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),53.24,2.52,No
CUST00066,Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,63.07,717.8,No
CUST00067,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.17,1340.61,No
CUST00068,Male,1,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,47.05,16.99,Yes
CUST00069,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),39.01,440.74,No
CUST00070,Female,0,No,No,2,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.14,100.49,No
CUST00071,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,47.65,261.49,No
CUST00072,Male,1,No,No,6,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,40.33,258.25,Yes
CUST00073,Female,1,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),48.98,410.82,No
CUST00074,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,51.62,0.0,No
CUST00075,Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),28.24,301.7,No
CUST00076,Female,0,No,No,16,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41.32,673.69,Yes
CUST00077,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,39.55,35.41,No
CUST00078,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),52.26,40.99,No
CUST00079,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),48.03,52.11,No
CUST00080,Female,0,Yes,No,1,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),27.96,0.0,No
CUST00081,Male,1,No,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,56.88,2928.08,Yes
CUST00082,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,56.09,501.61,Yes
CUST00083,Female,0,Yes,Yes,0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,31.59,0.0,Yes
CUST00084,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,40.0,510.65,No
CUST00085,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,49.08,205.47,No
CUST00086,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,59.52,2500.09,Yes
CUST00087,Female,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,69.58,2860.9,No
CUST00088,Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),56.56,625.83,Yes
CUST00089,Male,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.65,1338.93,No
CUST00090,Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,39.78,69.04,No
CUST00091,Female,0,Yes,No,43,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,24.04,1040.97,No
CUST00092,Female,0,No,Yes,2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,28.8,94.23,No
CUST00093,Female,1,No,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),34.63,0.0,No
CUST00094,Male,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.63,48.71,No
CUST00095,Female,1,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.94,442.71,No
CUST00096,Female,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),54.83,1316.86,No
CUST00097,Male,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.83,690.28,Yes
CUST00098,Male,1,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,35.76,370.87,No
CUST00099,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),51.41,92.36,No
CUST00100,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,64.7,1458.51,No
CUST00101,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),57.65,75.21,Yes
CUST00102,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),55.29,0.0,No
CUST00103,Male,0,No,Yes,28,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),41.6,1121.38,No
CUST00104,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.68,259.37,No
CUST00105,Female,1,No,No,8,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,42.21,308.86,No
CUST00106,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),52.03,33.23,Yes
CUST00107,Female,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.68,1766.97,Yes
CUST00108,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.35,0.0,Yes
CUST00109,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),28.03,24.2,No
CUST00110,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.3,414.48,No
CUST00111,Female,1,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.26,0.0,No
CUST00112,Female,0,No,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),34.02,22.0,No
CUST00113,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.66,229.86,No
CUST00114,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,51.16,441.33,No
CUST00115,Female,0,No,No,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),34.67,103.05,Yes
CUST00116,Male,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),59.24,254.59,No
CUST00117,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),62.07,82.36,No
CUST00118,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),30.82,3.16,No
CUST00119,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.14,158.25,Yes
CUST00120,Female,0,No,Yes,1,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),31.95,22.21,Yes
CUST00121,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),37.89,89.47,No
CUST00122,Female,0,No,Yes,6,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,33.32,215.03,Yes
CUST00123,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),66.42,2091.41,No
CUST00124,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,46.58,57.06,No
CUST00125,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,42.58,58.53,No
CUST00126,Female,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),48.14,337.93,No
CUST00127,Female,0,No,No,0,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,36.99,15.21,No
CUST00128,Female,0,No,No,10,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,24.64,230.46,Yes
CUST00129,Male,1,Yes,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),55.05,1157.84,Yes
CUST00130,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),59.04,949.73,Yes
CUST00131,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.81,61.24,No
CUST00132,Male,0,Yes,No,8,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.96,321.16,Yes
CUST00133,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.82,122.31,Yes
CUST00134,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,53.23,421.46,No
CUST00135,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,51.18,1438.78,No
CUST00136,Male,0,No,Yes,4,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,37.49,141.65,No
CUST00137,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,32.76,859.84,No
CUST00138,Female,0,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.56,367.41,No
CUST00139,Female,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,57.43,278.26,Yes
CUST00140,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.35,887.36,No
CUST00141,Male,0,Yes,No,3,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,30.31,80.67,No
CUST00142,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.47,235.71,Yes
CUST00143,Female,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.59,405.66,No
CUST00144,Male,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54.21,492.37,No
CUST00145,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,45.29,490.64,No
CUST00146,Male,1,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),31.25,966.23,No
CUST00147,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),47.89,58.37,No
CUST00148,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),45.74,149.86,Yes
CUST00149,Female,1,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,47.35,220.38,No
CUST00150,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.17,345.74,Yes
CUST00151,Female,0,No,Yes,29,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,46.2,1302.9,No
CUST00152,Male,0,No,No,13,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,36.26,449.25,Yes
CUST00153,Male,1,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.21,388.67,No
CUST00154,Female,0,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.53,597.37,Yes
CUST00155,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.74,295.47,No
CUST00156,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.09,443.38,No
CUST00157,Female,1,Yes,No,5,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,45.17,199.32,No
CUST00158,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,55.08,135.59,Yes
CUST00159,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,36.09,105.66,Yes
CUST00160,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,34.4,95.7,No
CUST00161,Female,1,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),62.43,1290.89,Yes
CUST00162,Female,0,No,No,27,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),32.03,839.79,No
CUST00163,Male,1,Yes,No,20,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,32.79,639.47,No
CUST00164,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),44.2,167.7,Yes
CUST00165,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,40.66,162.02,No
CUST00166,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,51.54,0.0,Yes
CUST00167,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,43.76,45.78,Yes
CUST00168,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),56.78,1627.05,No
CUST00169,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,50.05,611.14,Yes
CUST00170,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,56.68,1550.01,No
CUST00171,Female,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.61,85.35,Yes
CUST00172,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,52.59,0.0,Yes
CUST00173,Female,0,Yes,No,3,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,32.98,82.97,Yes
CUST00174,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,46.05,236.85,No
CUST00175,Female,1,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.04,510.22,Yes
